,,월세,,전세,
,,보증금만원,월세만원,보증금만원,
아파트,35이하,중위수,중위수,중위수,
강남구,개포동,3000,60,24250,
,논현동,1000,75,18000,
,대치동,3000,88,22000,
,도곡동,2500,75,19500,
,삼성동,9770,120,33500,
,수서동,2000,71,24000,
,신사동,2500,93,,
,역삼동,2000,70,17500,
,자곡동,,,8400,
,청담동,2000,75,25000,
강동구,강일동,7200,25,,
,길동,1000,40,12500,
,성내동,3000,48,23000,
,암사동,,,25000,
,천호동,3000,50,19500,
강북구,미아동,1118,15,4462,
,번동,1250,43,,
,수유동,3000,25,,
강서구,가양동,1860,50,16000,
,등촌동,1582,14,,
,방화동,1100,38,13000,
,화곡동,2500,30,13300,
관악구,남현동,2500,62,28000,
,봉천동,2000,50,14000,
,신림동,1500,50,17000,
광진구,구의동,2000,50,14000,
,중곡동,6500,50,,
,화양동,1000,60,11000,
구로구,고척동,7500,20,8000,
,구로동,1000,50,13000,
,신도림동,2000,60,,
,오류동,1000,40,13500,
,천왕동,,,2976,
금천구,가산동,2000,43,9000,
,독산동,1111,15,10000,
,시흥동,994,22,5044,
노원구,공릉동,1000,48,13250,
,상계동,1000,45,11500,
,월계동,1000,48,10000,
,중계동,1681,10,3234,
,하계동,667,45,12000,
도봉구,도봉동,,,2132,
,방학동,500,45,8250,
,쌍문동,1000,37,10750,
,창동,1500,43,,
동대문구,답십리동,1000,53,8000,
,용두동,2170,65,22500,
,장안동,4000,25,11750,
,전농동,4000,24,3788,
,제기동,2523,41,,
,청량리동,2558,2,2922,
,회기동,1000,85,20000,
동작구,노량진동,1000,73,10000,
,대방동,1000,52,10700,
,본동,2820,14,,
,사당동,1000,60,21500,
,상도1동,2750,45,8000,
,상도동,1000,54,23500,
,흑석동,1137,12,,
마포구,공덕동,4163,1,3511,
,노고산동,2000,75,25000,
,대흥동,1000,70,,
,도화동,,,2305,
,마포동,1000,50,,
,망원동,,,24000,
,상암동,,,12000,
,서교동,2000,70,,
,성산동,11000,55,25200,
,신공덕동,2211,34,25750,
,신수동,6000,40,,
,아현동,18000,20,25000,
서대문구,남가좌동,1000,50,23000,
,대신동,3000,40,,
,대현동,1000,93,,
,북아현동,8632,22,35000,
,연희동,1000,64,13000,
,창천동,1000,75,,
,천연동,,,20000,
,현저동,812,12,2859,
,홍제동,3209,14,21750,
서초구,방배동,19000,20,24000,
,서초동,5000,66,21000,
,우면동,,,24500,
,잠원동,4000,40,25000,
성동구,도선동,3000,50,12000,
,마장동,1750,53,12500,
,성수동1가,3000,170,38000,
,옥수동,894,13,,
,하왕십리동,1000,55,22000,
,행당동,1027,13,3391,
성북구,길음동,3526,20,20000,
,동선동3가,,,18500,
,동소문동6가,3000,45,22000,
,성북동1가,1000,63,,
,종암동,1602,17,3348,
,하월곡동,,,4858,
송파구,가락동,1250,58,13000,
,마천동,3605,18,,
,문정동,1000,53,11800,
,방이동,3000,55,13250,
,삼전동,2000,60,22000,
,석촌동,1000,80,23000,
,송파동,1000,80,,
,신천동,,,19500,
,오금동,4000,50,17500,
,잠실동,5000,95,39000,
,풍납동,3000,51,,
양천구,목동,,,24000,
,신정동,954,11,17000,
영등포구,당산동,1000,55,14000,
,당산동2가,2000,53,18000,
,당산동5가,10000,60,24000,
,대림동,2000,66,11000,
,신길동,1030,45,8500,
,영등포동1가,2000,40,10000,
,영등포동2가,3000,43,9000,
,영등포동3가,500,52,,
,영등포동4가,1000,60,13000,
,영등포동7가,2000,50,11000,
,영등포동8가,1000,50,,
용산구,갈월동,1500,54,,
,도원동,,,8000,
,문배동,1000,60,16000,
,신계동,,,5662,
,원효로3가,,,21000,
,이촌동,1000,60,,
,한강로2가,3000,70,14250,
,한강로3가,,,17000,
,한남동,1000,120,,
은평구,갈현동,,,10000,
,대조동,1250,45,20000,
,불광동,3170,11,15500,
,수색동,1833,11,,
,응암동,3000,40,23000,
,증산동,1000,50,11800,
종로구,경운동,1000,55,,
,명륜1가,,,8000,
,숭인동,1000,51,10250,
,연지동,,,8500,
,창신동,3000,10,11000,
,행촌동,750,38,,
,효제동,1000,60,,
중구,신당동,1633,43,13500,
,장충동2가,1000,60,,
,중림동,1000,68,,
,충무로5가,3500,65,,
,황학동,4000,50,,
,흥인동,2000,81,,
중랑구,망우동,750,50,8000,
,면목동,1000,40,8250,
,묵동,1000,50,13250,
,상봉동,1250,45,16450,
,신내동,1000,53,14500,
,중화동,2000,40,,
"a. 주택유형 = 아파트, 면적구분3550 = 1_35이하",,,,,
