,,월세,,전세,
,,보증금만원,월세만원,보증금만원,
아파트,50이하,중위수,중위수,중위수,
강남구,개포동,2000,45,28000,
,논현동,1750,105,32500,
,대치동,4500,83,27500,
,도곡동,,,22000,
,삼성동,3000,93,36000,
,세곡동,4565,31,7150,
,수서동,16000,45,30000,
,압구정동,,,35750,
,역삼동,3000,80,23600,
,일원동,8000,60,30000,
,자곡동,4133,34,16800,
,청담동,10000,230,74000,
강동구,강일동,3811,22,8336,
,길동,6000,70,22000,
,둔촌동,,,20000,
,명일동,7000,60,25000,
,상일동,4072,29,9328,
,성내동,21000,10,14000,
,암사동,,,12500,
,천호동,5000,58,18000,
강북구,미아동,2288,27,11285,
,번동,3000,55,13000,
강서구,가양동,5000,50,22000,
,내발산동,3576,20,8282,
,등촌동,4000,55,19000,
,마곡동,8895,14,12609,
,방화동,2500,50,19000,
,화곡동,3000,63,18500,
관악구,봉천동,5000,63,19750,
,신림동,3615,13,15000,
광진구,광장동,12500,40,32000,
,구의동,4000,75,26500,
,중곡동,13000,10,11000,
구로구,개봉동,2000,40,,
,고척동,2161,28,8000,
,구로동,2000,50,20000,
,신도림동,2000,90,18500,
,오류동,1000,70,16250,
,천왕동,4289,24,9635,
금천구,독산동,2000,10,13500,
,시흥동,2000,50,13250,
노원구,공릉동,3000,60,21000,
,상계동,2000,50,15000,
,월계동,3500,30,14150,
,중계동,2000,50,15000,
,하계동,2250,50,16500,
도봉구,도봉동,3000,50,17000,
,방학동,3000,43,13000,
,쌍문동,3000,42,14000,
,창동,2000,50,14500,
동대문구,답십리동,6500,35,19250,
,용두동,,,23500,
,이문동,,,25000,
,장안동,9000,60,22000,
,전농동,3651,19,6090,
,휘경동,4500,50,19500,
동작구,본동,15000,40,26000,
,사당동,7500,70,29000,
,상도동,2424,13,34000,
,신대방동,,,22000,
,흑석동,5914,32,6964,
마포구,노고산동,,,19000,
,도화동,2000,105,27000,
,망원동,5000,68,23000,
,상수동,2873,15,,
,상암동,5007,25,30000,
,성산동,,,29000,
,아현동,4239,18,29900,
,염리동,,,24500,
,용강동,,,6486,
,창전동,,,26500,
서대문구,대현동,4000,80,,
,미근동,750,45,8000,
,북가좌동,3297,21,7094,
,북아현동,4116,19,40000,
,연희동,,,14000,
,충정로3가,15500,53,30000,
,홍제동,,,18000,
서초구,내곡동,4867,36,11302,
,반포동,15000,68,30000,
,방배동,10000,85,28000,
,서초동,2000,85,25000,
,신원동,6072,39,13067,
,양재동,13500,59,30000,
,우면동,4578,22,18522,
,잠원동,3000,109,28000,
성동구,금호동2가,500,20,,
,마장동,4995,55,20500,
,성수동1가,20000,168,70000,
,옥수동,3372,21,7094,
,하왕십리동,2000,135,20000,
,행당동,5981,14,8488,
성북구,돈암동,1000,70,18500,
,보문동6가,3654,19,,
,성북동,,,9500,
,안암동3가,1500,43,11000,
,정릉동,3750,50,20000,
송파구,가락동,13000,53,28000,
,거여동,10000,40,21750,
,마천동,9140,1,9614,
,문정동,11000,28,18500,
,방이동,8000,38,17000,
,석촌동,,,33000,
,신천동,10000,63,24000,
,오금동,10000,50,23000,
,장지동,4322,28,,
,풍납동,13500,45,25000,
양천구,목동,16000,45,30000,
,신월동,2000,50,13000,
,신정동,4862,29,9172,
영등포구,당산동2가,10000,50,24000,
,당산동3가,4000,100,38000,
,대림동,3000,99,26000,
,도림동,1000,65,16000,
,문래동2가,,,17250,
,문래동6가,8500,45,18750,
,신길동,3036,20,15500,
,양평동6가,12000,45,,
,여의도동,2000,110,30000,
,영등포동,3000,45,5000,
용산구,도원동,3000,30,9000,
,원효로4가,,,13000,
,이촌동,1000,40,27000,
,이태원동,,,16000,
,한강로1가,,,7000,
,한남동,3000,145,36500,
,후암동,8000,10,,
은평구,갈현동,3000,50,,
,대조동,5000,80,,
,불광동,6000,40,25000,
,역촌동,,,21000,
,응암동,,,22500,
,진관동,4235,20,8906,
종로구,교남동,,,39000,
,명륜2가,,,30500,
,수송동,,,34000,
,숭인동,3000,95,24000,
,익선동,1000,95,19850,
,창신동,,,6000,
,효제동,1800,110,,
중구,신당동,2874,17,17000,
,인현동2가,2000,50,,
,중림동,10000,67,,
,충무로5가,,,28000,
,황학동,,,19000,
,회현동1가,17000,120,,
중랑구,망우동,,,15500,
,면목동,2000,60,18000,
,묵동,4000,40,17300,
,상봉동,,,24000,
,신내동,3000,50,19000,
"a. 주택유형 = 아파트, 면적구분3550 = 2_35_50",,,,,
