,,월세,,전세,
,,보증금만원,월세만원,보증금만원,
오피스텔,50이하,중위수,중위수,중위수,
강남구,논현동,3000,85,,
,대치동,1000,110,23000,
,도곡동,,,19000,
,삼성동,16000,35,,
,세곡동,4000,100,29000,
,수서동,1000,75,18000,
,역삼동,6500,58,23000,
,율현동,,,37000,
,자곡동,3000,120,26000,
강동구,강일동,,,19000,
,길동,500,55,23500,
,명일동,2000,100,22000,
,성내동,,,23000,
,천호동,6000,58,21750,
강북구,번동,,,8000,
,수유동,,,15250,
강서구,가양동,,,18000,
,등촌동,5000,50,16000,
,마곡동,1000,85,25600,
,방화동,,,18000,
,화곡동,1000,50,14000,
관악구,봉천동,7500,53,17000,
,신림동,4000,65,13500,
광진구,구의동,1000,85,11000,
,중곡동,4000,40,,
,화양동,1500,45,,
구로구,가리봉동,,,13000,
,구로동,4250,55,16850,
,신도림동,16000,40,,
,오류동,5000,50,,
,천왕동,2000,80,,
금천구,가산동,,,20500,
,독산동,3000,55,20000,
,시흥동,1000,50,17000,
노원구,상계동,1000,55,12000,
,중계동,,,16000,
도봉구,도봉동,,,16000,
,쌍문동,1000,85,20500,
,창동,750,58,11700,
동대문구,답십리동,1000,105,15000,
,용두동,1000,65,14000,
,장안동,3000,60,13000,
동작구,노량진동,3500,85,,
,대방동,,,26000,
,신대방동,3000,75,21000,
마포구,공덕동,3000,80,25000,
,노고산동,5500,58,,
,도화동,7000,80,27000,
,동교동,1000,98,,
,상암동,,,36000,
,성산동,10000,15,,
서대문구,창천동,2000,100,,
,충정로2가,,,20000,
,합동,1000,95,,
서초구,내곡동,3000,100,29500,
,방배동,,,30000,
,서초동,2500,88,23000,
,양재동,750,50,,
성동구,금호동1가,,,20000,
,성수동1가,5000,65,20250,
,성수동2가,,,19000,
,용답동,3000,80,,
,하왕십리동,,,19000,
성북구,동선동1가,2500,68,,
송파구,가락동,1000,65,18000,
,거여동,5000,80,,
,문정동,3000,90,32000,
,방이동,,,22000,
,삼전동,1000,100,29950,
,석촌동,5000,50,,
,신천동,3000,120,27500,
,오금동,3000,65,17000,
,잠실동,8000,80,37000,
양천구,목동,1000,70,17000,
,신월동,2000,60,,
,신정동,1000,65,14500,
영등포구,당산동,,,13000,
,당산동1가,,,26750,
,당산동3가,2500,95,25500,
,당산동4가,1000,90,21000,
,당산동6가,,,24000,
,도림동,3000,62,22000,
,양평동2가,,,21500,
,양평동4가,,,22000,
,양평동5가,,,24150,
,여의도동,10000,70,16900,
,영등포동2가,,,19000,
,영등포동3가,,,10000,
,영등포동6가,,,23750,
,영등포동8가,2250,111,,
용산구,문배동,14000,53,29000,
,한강로1가,17750,38,27000,
,한강로2가,10000,48,40000,
,한강로3가,7000,73,22000,
,한남동,,,17800,
은평구,녹번동,,,15250,
,대조동,,,11000,
,불광동,1000,45,23000,
,신사동,3000,55,,
,역촌동,,,18500,
,응암동,1000,60,19500,
,진관동,2500,93,,
종로구,견지동,,,20000,
,내수동,3000,80,21500,
,사직동,10000,65,25000,
,수송동,,,38000,
,숭인동,1000,80,23000,
,홍지동,,,13500,
중구,순화동,1500,98,28500,
,황학동,2500,95,24000,
,흥인동,1000,120,,
중랑구,면목동,,,18000,
,신내동,1000,58,11000,
"a. 주택유형 = 오피스텔, 면적구분3550 = 2_35_50",,,,,
