,,월세,,전세,
,,보증금만원,월세만원,보증금만원,
오피스텔,35이하,중위수,중위수,중위수,
강남구,개포동,1000,65,,
,논현동,3000,65,18000,
,대치동,1500,55,18750,
,삼성동,5000,75,19000,
,세곡동,1000,68,,
,수서동,,,17000,
,신사동,5000,72,15000,
,역삼동,1500,75,21500,
,자곡동,2000,55,16000,
,청담동,1250,50,10000,
강동구,강일동,500,40,10900,
,길동,500,50,10500,
,둔촌동,3000,30,,
,명일동,500,50,,
,성내동,1000,50,14000,
,암사동,2500,33,8500,
,천호동,2000,50,15500,
강북구,미아동,1500,52,12000,
,번동,2000,38,7000,
,수유동,3500,35,11000,
강서구,가양동,2000,45,13000,
,공항동,3500,30,8000,
,등촌동,1000,46,12000,
,마곡동,1000,43,12000,
,방화동,750,35,8000,
,염창동,1000,50,12250,
,화곡동,1000,40,7000,
관악구,남현동,2000,53,11000,
,봉천동,2000,40,12000,
,신림동,2000,50,12000,
광진구,광장동,2500,40,8000,
,구의동,2000,60,17000,
,군자동,2500,88,,
,자양동,1000,50,18500,
,중곡동,1000,50,10000,
,화양동,1000,60,9500,
구로구,가리봉동,2000,45,7500,
,개봉동,3500,25,6500,
,고척동,2500,30,9000,
,구로동,1500,50,12000,
,신도림동,1000,45,13000,
,오류동,2000,40,8000,
,천왕동,2000,40,10000,
금천구,가산동,1000,45,11500,
,독산동,6000,17,6500,
,시흥동,750,42,10000,
노원구,공릉동,2200,35,10000,
,상계동,1000,50,12000,
,월계동,750,50,,
,중계동,3000,55,13500,
,하계동,10000,5,,
도봉구,도봉동,1000,50,12250,
,방학동,1000,50,9000,
,쌍문동,2000,70,17500,
,창동,1500,48,10000,
동대문구,답십리동,1000,50,12250,
,신설동,1000,65,,
,용두동,2000,50,10000,
,이문동,2000,50,8000,
,장안동,1000,44,12000,
,전농동,3000,43,12000,
,제기동,500,47,,
,회기동,3000,40,,
,휘경동,1500,50,6500,
동작구,노량진동,1000,70,,
,대방동,1500,43,12000,
,사당동,3400,40,13000,
,신대방동,1000,60,,
마포구,공덕동,3000,50,18000,
,노고산동,1000,45,10000,
,대흥동,4000,70,21500,
,도화동,1500,50,19500,
,동교동,2000,70,15450,
,마포동,700,50,,
,상수동,4500,30,7600,
,상암동,1000,55,13000,
,서교동,2500,50,16000,
,성산동,2000,50,14000,
,신공덕동,1000,60,16000,
,아현동,2000,60,17500,
,창전동,1500,50,,
,합정동,1000,80,25500,
서대문구,대신동,3000,67,,
,대현동,3000,60,20000,
,미근동,9800,11,,
,연희동,1000,50,9000,
,창천동,1500,58,11000,
,충정로2가,3000,60,17000,
,합동,2000,70,19250,
,홍은동,,,7000,
서초구,내곡동,1000,60,,
,방배동,2000,48,10000,
,서초동,2000,65,19000,
,신원동,1000,60,17000,
,양재동,750,49,13000,
,우면동,2000,50,14500,
,잠원동,500,55,12000,
성동구,도선동,750,66,,
,마장동,,,7500,
,상왕십리동,5000,30,10000,
,성수동1가,3000,45,13500,
,성수동2가,2000,49,12000,
,송정동,,,12000,
,옥수동,2000,58,14000,
,용답동,2000,45,12500,
,하왕십리동,2000,55,17000,
,행당동,1000,60,14000,
성북구,동선동1가,1000,50,,
,동선동3가,3500,35,,
,동선동4가,2500,65,22500,
,동소문동4가,1000,50,,
,동소문동6가,1000,75,19000,
,삼선동5가,1000,58,6000,
,석관동,,,6500,
,장위동,1000,40,,
송파구,가락동,500,55,12000,
,거여동,3750,23,6825,
,문정동,1000,57,17950,
,방이동,1000,55,14000,
,삼전동,1000,75,17000,
,석촌동,3500,68,22000,
,송파동,3000,45,,
,오금동,2000,60,20000,
,잠실동,10000,60,12500,
양천구,목동,1000,55,18925,
,신월동,1000,40,6000,
,신정동,500,65,6000,
