,,월세,,전세
,,보증금만원,월세만원,보증금만원
연립다세대,50이하,중위수,중위수,중위수
강남구,개포동,4000,50,33000
,논현동,5000,80,22000
,대치동,4500,68,22500
,도곡동,3500,75,20000
,삼성동,2500,93,26000
,세곡동,,,31000
,신사동,10000,40,20000
,역삼동,3500,73,24000
,일원동,6250,40,20000
,청담동,9000,60,5000
강동구,고덕동,3500,35,12250
,길동,6500,50,19500
,둔촌동,4000,50,26000
,명일동,7000,35,21500
,상일동,2000,55,20000
,성내동,8000,36,20000
,암사동,5000,32,20000
,천호동,3000,60,23500
강북구,미아동,1500,40,11250
,번동,4000,40,10000
,수유동,2000,40,12000
,우이동,3000,50,11000
강서구,가양동,,,17000
,공항동,3000,70,19000
,내발산동,6250,38,18000
,등촌동,3000,60,16000
,마곡동,2000,63,9000
,방화동,3000,48,14500
,염창동,1000,83,23000
,외발산동,5500,36,12750
,화곡동,2000,48,14000
관악구,남현동,5000,65,21500
,봉천동,5000,38,16000
,신림동,4500,50,15000
광진구,광장동,10000,50,30000
,구의동,5250,50,22000
,군자동,10000,53,21000
,능동,3000,100,30000
,자양동,4000,45,25500
,중곡동,9000,42,21000
,화양동,500,30,
구로구,개봉동,2264,28,15000
,고척동,6000,23,11200
,구로동,2750,48,12000
,궁동,5000,30,12000
,신도림동,3000,75,28000
,오류동,3000,38,11000
,온수동,3000,45,14250
,항동,,,9750
금천구,가산동,500,55,20000
,독산동,2500,38,20000
,시흥동,4000,25,12000
노원구,공릉동,1500,38,11500
,상계동,6500,15,10000
,월계동,750,43,8750
,중계동,,,11500
,하계동,700,40,
도봉구,도봉동,1000,20,13500
,방학동,1500,40,11500
,쌍문동,3000,30,12000
,창동,3000,40,12000
동대문구,답십리동,,,26000
,용두동,2000,70,26000
,이문동,3000,70,6250
,장안동,5000,50,17000
,전농동,4500,35,19500
,제기동,6000,26,25700
,청량리동,,,12250
,회기동,,,13000
,휘경동,5500,28,10600
동작구,노량진동,5750,30,12500
,대방동,3000,48,24250
,본동,,,13500
,사당동,10000,50,19500
,상도1동,3000,65,24500
,상도동,4000,43,17400
,신대방동,5000,43,15000
,흑석동,1000,80,10000
마포구,공덕동,,,19000
,구수동,,,21000
,당인동,2500,72,18500
,대흥동,,,22000
,도화동,1000,63,19500
