,,월세,,전세,
,,보증금만원,월세만원,보증금만원,
연립다세대,35이하,중위수,중위수,중위수,
강남구,개포동,4750,63,16000,
,논현동,2000,63,15000,
,대치동,4000,40,14500,
,도곡동,3500,60,12000,
,삼성동,2500,57,14000,
,신사동,4000,65,12500,
,역삼동,3000,62,16000,
,일원동,1000,48,18000,
,청담동,1500,78,18000,
강동구,길동,2750,44,15500,
,둔촌동,2000,43,15000,
,명일동,10000,15,20000,
,상일동,,,24000,
,성내동,2000,47,23000,
,암사동,3000,44,19000,
,천호동,3000,50,21400,
강북구,미아동,1000,48,8200,
,번동,2000,45,6750,
,수유동,2500,28,14000,
,우이동,,,12750,
강서구,가양동,8000,30,17500,
,개화동,2000,60,,
,공항동,750,48,16800,
,내발산동,500,50,18000,
,등촌동,3000,35,18000,
,마곡동,,,16500,
,방화동,1000,40,16500,
,염창동,2500,53,23500,
,외발산동,,,15500,
,화곡동,2000,50,16500,
관악구,남현동,3000,50,15000,
,봉천동,3000,40,18000,
,신림동,2000,46,18000,
광진구,광장동,4000,30,16000,
,구의동,2500,50,22000,
,군자동,2000,40,16000,
,능동,7000,38,21000,
,자양동,2000,48,20000,
,중곡동,3000,50,19000,
,화양동,1000,50,10000,
구로구,가리봉동,3500,50,19000,
,개봉동,2000,50,14750,
,고척동,5000,50,7300,
,구로동,1000,45,8500,
,궁동,,,15250,
,오류동,2000,40,12500,
,온수동,2800,50,,
금천구,가산동,1000,55,18800,
,독산동,2500,41,16750,
,시흥동,3000,40,17500,
노원구,공릉동,2000,40,7000,
,상계동,1000,35,7000,
,월계동,1000,40,6000,
,중계동,,,7500,
,하계동,1000,45,8500,
도봉구,도봉동,1000,40,12000,
,방학동,1000,40,13000,
,쌍문동,1500,30,16000,
,창동,2000,30,14000,
동대문구,답십리동,,,20500,
,신설동,2000,45,,
,용두동,3000,38,19000,
,이문동,2000,50,5500,
,장안동,1750,45,16000,
,전농동,2500,31,18000,
,제기동,1500,45,10000,
,청량리동,2000,47,7500,
,회기동,,,13000,
,휘경동,2000,45,7500,
