,,월세,,전세,
,,보증금만원,월세만원,보증금만원,
단독다가구,50이하,중위수,중위수,중위수,
강남구,개포동,2750,50,12000,
,논현동,2500,65,15000,
,대치동,4000,52,19500,
,도곡동,5000,42,21000,
,삼성동,8000,50,14500,
,세곡동,14000,15,25000,
,신사동,3500,66,14000,
,역삼동,5000,55,16500,
,율현동,2000,45,26000,
,일원동,1000,48,12500,
,자곡동,5000,20,9000,
,청담동,1000,75,22000,
강동구,고덕동,1500,32,7500,
,길동,3000,35,13000,
,둔촌동,5000,20,12000,
,명일동,6250,23,11250,
,상일동,2250,50,10000,
,성내동,5000,30,14500,
,암사동,4500,30,9250,
,천호동,3500,30,12000,
강북구,미아동,1000,30,7000,
,번동,1000,40,8000,
,수유동,1000,35,7000,
,우이동,1000,30,7500,
강서구,공항동,1000,33,8000,
,내발산동,4000,38,8250,
,등촌동,2750,50,8000,
,방화동,1500,35,6500,
,화곡동,1000,35,7000,
관악구,남현동,3500,49,14500,
,봉천동,3000,40,12500,
,신림동,2000,40,10000,
광진구,광장동,6000,65,14000,
,구의동,3000,40,15000,
,군자동,3000,40,15000,
,능동,4000,48,16500,
,자양동,2000,40,12000,
,중곡동,4000,37,12500,
,화양동,2500,58,10000,
구로구,가리봉동,1000,50,8500,
,개봉동,1000,35,8000,
,고척동,1500,40,8000,
,구로동,2100,40,10500,
,궁동,1750,39,8000,
,신도림동,1000,30,7000,
,오류동,1000,32,8000,
금천구,독산동,1450,40,8000,
,시흥동,2000,30,7500,
노원구,공릉동,3000,45,10500,
,상계동,2500,30,8000,
,월계동,1000,30,8500,
,중계동,,,7000,
,하계동,1000,50,7000,
도봉구,도봉동,500,30,7000,
,방학동,1000,35,7000,
,쌍문동,2000,34,8000,
,창동,1000,33,8250,
동대문구,답십리동,2500,40,10000,
,신설동,5000,60,13000,
,용두동,750,50,13250,
,이문동,1000,35,8000,
,장안동,2750,40,11500,
,전농동,2000,37,11000,
,제기동,3000,35,13000,
,청량리동,3000,30,10000,
,회기동,4000,40,12000,
,휘경동,3000,30,9500,
동작구,노량진동,1000,40,8000,
,대방동,3000,40,11000,
,본동,1750,50,12200,
,사당동,5000,40,13000,
,상도1동,6000,40,,
,상도동,2000,35,10000,
,신대방동,3000,40,13500,
,흑석동,5000,25,6500,
마포구,공덕동,3000,40,10000,
,구수동,7000,50,,
,노고산동,7500,25,9500,
,대흥동,600,39,16000,
,도화동,4000,55,12000,
,동교동,2000,80,10000,
,망원동,2000,50,12000,
,상수동,1000,56,15000,
,상암동,3500,40,15000,
,서교동,2000,50,15000,
,성산동,4000,45,8500,
,신공덕동,2500,40,10250,
,신수동,2500,45,20000,
,아현동,1000,50,15000,
,연남동,1000,60,16500,
,염리동,5000,40,11000,
,중동,1000,35,6000,
,창전동,1000,60,15000,
,토정동,1000,50,,
,합정동,3000,40,13000,
서대문구,남가좌동,3750,18,8000,
,봉원동,15000,30,,
,북가좌동,1000,40,9500,
,북아현동,1000,45,10850,
,연희동,2500,40,10000,
,영천동,,,8000,
,옥천동,,,12000,
,창천동,3250,53,14500,
,천연동,3000,50,13000,
,충정로2가,8500,30,10000,
,충정로3가,,,4000,
,홍은동,1000,40,6750,
,홍제동,2000,40,8000,
서초구,내곡동,3000,50,,
,반포동,3000,60,15500,
,방배동,5000,40,14000,
,서초동,6250,50,19000,
,신원동,2000,40,,
,양재동,5000,50,18000,
,우면동,4000,20,20000,
,잠원동,7500,38,14000,
성동구,금호동1가,,,9000,
,금호동2가,6000,20,12000,
,금호동3가,1500,25,8750,
,금호동4가,1000,38,12000,
,도선동,3150,48,15000,
,마장동,3500,48,8500,
,사근동,4000,50,9000,
,성수동1가,2900,50,12000,
,성수동2가,1000,50,13000,
,송정동,5000,35,9500,
,옥수동,3000,48,8000,
,용답동,1250,40,11500,
,응봉동,7500,40,7000,
,하왕십리동,3000,40,15000,
,행당동,4000,45,8250,
,홍익동,,,15000,
성북구,길음동,2000,50,,
,돈암동,8000,10,12500,
