,,월세,,전세,
,,보증금만원,월세만원,보증금만원,
단독다가구,35이하,중위수,중위수,중위수,
강남구,개포동,1500,35,10000,
,논현동,1000,52,10000,
,대치동,1750,48,9000,
,도곡동,1000,53,9000,
,삼성동,1000,53,13000,
,세곡동,1000,40,,
,신사동,2000,53,10500,
,역삼동,1500,50,13000,
,일원동,2000,35,7000,
,자곡동,,,16000,
,청담동,2000,51,11000,
강동구,고덕동,500,30,4000,
,길동,2000,30,8000,
,둔촌동,1500,25,7250,
,명일동,500,30,9000,
,상일동,1000,20,3000,
,성내동,1000,30,9000,
,암사동,600,28,5500,
,천호동,1000,30,6500,
강북구,미아동,500,30,5000,
,번동,500,30,4750,
,수유동,500,28,5500,
,우이동,300,30,4500,
강서구,가양동,500,30,6500,
,개화동,,,3000,
,공항동,500,33,6000,
,내발산동,500,40,5000,
,등촌동,1000,35,8000,
,방화동,750,30,6000,
,화곡동,1000,30,5750,
관악구,남현동,2000,40,9000,
,봉천동,2000,35,8000,
,신림동,1000,38,6500,
광진구,광장동,750,43,7500,
,구의동,1000,35,9000,
,군자동,2000,35,8000,
,능동,1000,40,8000,
,자양동,1000,35,7250,
,중곡동,2000,30,8000,
,화양동,1000,40,8500,
구로구,가리봉동,500,37,7000,
,개봉동,500,25,5000,
,고척동,500,23,4500,
,구로동,1000,35,7000,
,궁동,750,25,4000,
,신도림동,500,35,4150,
,오류동,500,25,5450,
,온수동,1000,33,,
금천구,가산동,500,38,5000,
,독산동,500,30,6000,
,시흥동,500,25,4500,
노원구,공릉동,1000,35,6000,
,상계동,500,30,5000,
,월계동,500,30,5000,
,중계동,1250,35,1200,
,하계동,300,25,6750,
도봉구,도봉동,500,30,5000,
,방학동,500,29,4850,
,쌍문동,500,22,4000,
,창동,500,27,4500,
동대문구,답십리동,1000,30,5250,
,신설동,1000,42,,
,용두동,1000,30,7800,
,이문동,500,35,6000,
,장안동,800,30,5000,
,전농동,1000,23,6250,
,제기동,1000,39,7500,
,청량리동,500,25,4000,
,회기동,1000,33,6500,
,휘경동,1000,40,6000,
동작구,노량진동,500,43,6000,
,대방동,2000,35,8000,
,본동,500,32,5000,
,사당동,1000,40,9000,
,상도1동,2000,38,9000,
,상도동,1500,34,7150,
,신대방동,900,30,6500,
,흑석동,1000,45,6500,
마포구,공덕동,500,30,8000,
,노고산동,1000,40,7250,
,당인동,,,8000,
,대흥동,1000,40,6500,
,도화동,1000,40,8000,
,동교동,3000,45,,
,마포동,,,8000,
,망원동,1000,40,8750,
,상수동,1000,45,10500,
,상암동,1000,45,10000,
,서교동,1000,50,9500,
,성산동,1000,40,9000,
,신공덕동,3000,40,7500,
,신수동,1000,38,10000,
,아현동,1000,30,7500,
,연남동,1000,50,11500,
,염리동,500,45,8500,
,용강동,,,12000,
,중동,5000,15,,
,창전동,1500,42,8000,
,합정동,1000,40,9000,
서대문구,남가좌동,500,35,5750,
,냉천동,700,42,,
,대신동,2000,41,6500,
,대현동,2000,40,,
,북가좌동,1000,30,8000,
,북아현동,500,20,5250,
,신촌동,2000,30,,
,연희동,1500,40,8000,
,영천동,,15,5000,
,옥천동,2000,25,12000,
,창천동,1000,47,7750,
,천연동,1000,40,10750,
,충정로2가,7500,25,,
,충정로3가,500,35,8000,
,홍은동,1000,30,6000,
,홍제동,1000,35,5000,
서초구,반포동,1000,49,9750,
,방배동,2000,38,11000,
,서초동,1000,50,9750,
,신원동,1000,35,,
,양재동,2000,45,9000,
,염곡동,1000,40,,
,우면동,,,13000,
,잠원동,1000,39,11000,
성동구,금호동2가,1000,50,9000,
,금호동3가,1000,25,9000,
,금호동4가,1250,35,7000,
,도선동,750,40,7000,
,마장동,2000,40,8250,
,사근동,1000,45,7000,
,성수동1가,1000,30,6000,
,성수동2가,950,40,7500,
,송정동,1000,30,6700,
,옥수동,5000,47,7000,
,용답동,500,35,8000,
,응봉동,425,25,13000,
,하왕십리동,500,34,6000,
,행당동,2000,43,9000,
,홍익동,2000,30,10500,
성북구,길음동,1250,28,4500,
,돈암동,2000,30,6000,
,동선동1가,1000,45,5000,
,동선동2가,2000,40,,
,동선동3가,2500,44,7500,
,동선동4가,1000,30,6000,
,동선동5가,1000,50,10000,
,동소문동1가,1000,44,13500,
,동소문동2가,,,2000,
,동소문동3가,2000,60,,
,동소문동4가,1500,50,7500,
,동소문동6가,1000,45,8000,
,보문동2가,1000,25,13000,
,보문동5가,5000,50,9500,
,보문동6가,750,32,8000,
,보문동7가,700,32,,
,삼선동1가,1000,30,8000,
,삼선동2가,1250,37,5000,
,삼선동3가,1500,30,6500,
,삼선동4가,1000,37,6250,
,삼선동5가,2000,45,5500,
,상월곡동,1000,35,6500,
,석관동,450,30,5000,
,성북동,5000,40,12000,
,성북동1가,2000,38,,
,안암동1가,1000,40,8000,
,안암동2가,1000,40,6250,
,안암동3가,750,33,6750,
,안암동4가,1300,33,,
,안암동5가,1000,50,8000,
,장위동,1000,20,4000,
,정릉동,1000,34,6000,
,종암동,1000,35,6000,
,하월곡동,500,33,5250,
송파구,가락동,1000,35,12500,
,거여동,500,25,4500,
,마천동,500,30,5000,
,문정동,1000,33,4750,
,방이동,2000,40,9500,
,삼전동,1000,40,10000,
,석촌동,1000,40,8000,
,송파동,,,6750,
,오금동,1000,40,10000,
,잠실동,1000,39,9250,
,풍납동,850,25,6800,
양천구,목동,2000,30,7000,
,신월동,500,25,4000,
,신정동,1000,35,6000,
영등포구,당산동,,,7500,
,당산동1가,2300,25,7500,
,당산동3가,750,38,10000,
,당산동4가,4500,30,,
,당산동5가,3000,40,,
,당산동6가,500,35,17000,
,대림동,1000,35,8000,
,도림동,500,30,5500,
,문래동3가,,,6000,
,문래동4가,,,8000,
,신길동,1000,35,7000,
,양평동1가,2700,20,8200,
,양평동2가,300,20,,
,양평동3가,750,38,6000,
,양평동4가,1250,50,,
,양평동5가,3500,30,13000,
,양평동6가,,,6000,
,여의도동,1000,45,,
,영등포동,1500,30,6000,
,영등포동5가,1000,36,,
,영등포동7가,,,6500,
용산구,갈월동,1750,41,6100,
,남영동,2000,45,14000,
,도원동,,,11000,
,동빙고동,500,35,7000,
,동자동,1000,40,9000,
,보광동,500,30,5000,
,서계동,3500,27,7000,
,서빙고동,1500,42,2000,
,용문동,3000,55,10000,
,용산동2가,500,30,6000,
,원효로1가,5000,20,8000,
,원효로2가,,,7000,
,원효로4가,3500,20,,
,이태원동,1000,48,9250,
,청파동1가,500,35,5000,
,청파동2가,1500,50,7000,
,청파동3가,1000,50,8000,
,한강로1가,1000,20,5500,
,한강로2가,500,30,,
,한강로3가,500,28,9000,
,한남동,500,44,5000,
,효창동,750,49,8500,
,후암동,1000,40,7000,
은평구,갈현동,1000,30,5000,
,구산동,1000,30,7000,
,녹번동,1000,33,8250,
,대조동,500,35,8000,
,불광동,500,29,6000,
,수색동,100,14,4500,
,신사동,500,33,5500,
,역촌동,500,35,7500,
,응암동,500,35,4000,
,증산동,1250,28,6750,
종로구,계동,6000,40,10000,
,교남동,360,30,,
,구기동,,,17000,
,누상동,,,7250,
,누하동,6000,20,5000,
,돈의동,,,6000,
,동숭동,2500,30,6000,
,명륜1가,1000,35,9000,
,명륜2가,2000,49,9000,
,명륜3가,1000,40,6000,
,명륜4가,3000,50,6000,
,부암동,2500,50,18000,
,사간동,2000,65,,
,삼청동,,,7500,
,숭인동,650,35,9500,
,신교동,4500,55,,
,신문로2가,1500,40,,
,신영동,500,30,,
,안국동,500,45,,
,연건동,2000,50,9500,
,옥인동,1500,45,,
,원남동,,,13000,
,원서동,1000,43,,
,창성동,7000,80,,
,창신동,1150,38,9000,
,청운동,6000,30,,
,체부동,10000,45,,
,충신동,550,29,7250,
,통인동,1500,50,4500,
,평창동,,,14750,
,필운동,,,5000,
,행촌동,1000,40,12000,
,혜화동,2000,50,11000,
,홍지동,5000,25,6500,
중구,광희동2가,1750,28,7500,
,남산동2가,750,55,10000,
,묵정동,1250,38,,
,신당동,1750,42,8000,
,쌍림동,1000,48,7000,
,장충동1가,1000,50,,
,장충동2가,750,58,7500,
,중림동,2000,40,7000,
,필동2가,1000,55,7000,
,필동3가,1000,45,,
,황학동,1150,24,7000,
,회현동1가,1150,43,9000,
중랑구,망우동,1000,25,7000,
,면목동,1000,30,5000,
,묵동,1500,25,7500,
,상봉동,1000,30,6750,
,신내동,750,25,3000,
,중화동,1000,30,6000,
"a. 주택유형 = 단독다가구, 면적구분3550 = 1_35이하",,,,,
